servreqid,text,id,label,newlabel,newid
225303109, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
208175246, Broken glass and a pile of cigarette butts underneath the southernmost bench at magnolia blvd lookout park.,CSB-General Inquiry,7,7,CSB-General Inquiry
224720640,"Due to 72 hr moratorium by Mayor Durkan this request will not be serviced at this time. Please resubmit if still an issue after the current crisis protocols are lifted. In case of immediate emergency or in progress crime, call 911.. ",SPD-Parking Enforcement,4,7,CSB-General Inquiry
228696411, The tree pictured has some very large limbs that are dead. During some recent windstorm's and a number of larger pieces have come down. Just concerned as a number of people walk through this area very close to the tree.,CSB-General Inquiry,7,7,CSB-General Inquiry
216719653,The street cleaner may have pushed them away from the curb where the cars park but they should not have left them in the cross walk. ,SEA-Overgrown Vegetation,12,7,CSB-General Inquiry
234141158, Broken storm drain cover,CSB-General Inquiry,7,7,CSB-General Inquiry
196566856,"**Sent an email to the Farmer's Market**
Capitol Hill farmers market shed- dark green shed located in the north plaza of Seattle Central College ",SPU-Graffiti Report,0,7,CSB-General Inquiry
227235635," Playground in use- Are playgrounds open or closed in Seattle? We want to use them too. Make public health guidelines clear. People are using them but still closed, yes?",CSB-General Inquiry,7,7,CSB-General Inquiry
246633782, Reaching out in regards to the Rat Infested Alley which is now effecting the Gordon Apartment and the residents cars parked in alleyway. Despite extensive pest control solutions the rats are continuing to worsen and damage the building and residents cars. The restaurant's in the alley consistently leave open/uncovered barrels of kitchen grease/ripped open bags of trash in the alley. The uncovered barrel of kitchen grease is so full it is overflowing over the side of the barrel as well.,CSB-General Inquiry,7,7,CSB-General Inquiry
229541742, Homeowner stores his detached trailer outside the home on the public street in violation of ordinance 11.72.430,CSB-General Inquiry,7,7,CSB-General Inquiry
225734434, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
249535426, Camping,CSB-General Inquiry,7,7,CSB-General Inquiry
205933365," Dear Mayor Durkan, I have worked in the old Cress building at Third and Pike before the new QFC moved in and now I travel through the neighborhood on my way for volunteer work at the Aquarium and my frequent trips to the Market. It has always been a ""tough"" intersection but now I find myself avoiding it entirely because of the filth that has accumulated on the sidewalks in resent weeks and over the last couple of months it seems. I realize that it is an important intersection for the homeless as there is the QFC and Starbucks and transit available there. The checkers in the QFC told me the cleaning of the sidewalk is not their problem as there is supposed to be street cleaners in that neighborhood. The recent cold weather has made this an incredibly unpleasant area. I feel that this area needs immediate attention. I cannot blame the homeless but something has to be done to keep this area clean. I am sure it is attracting rats and further filth. Can the City provide more cleaners in this area, or provide garbage bags and pickup for the ""residence"" to self clean and then provide some guidance to them to help, and make contact with the store owners to provide some effort to keep this area clean. It seems to me the stores, the GFC and Starbucks, and the restaurants on Pike, are deliberately not cleaning in the hopes that the filth will drive away the street people. That doesn't work. It is a downright eyesore and does not look good to the residence of the neighborhood or to the tourists going to the Market. What can I do to help.",CSB-General Inquiry,7,7,CSB-General Inquiry
195373464,"SENT FOR INSPECTION
Street sign and furniture dumped in alley ",SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
223171205," We are moving to Seattle from out of state.  We will be renting at the location listed and would appreciate information on setting up utility(s) accounts i.e., electric, water, sewer, garbage, etc.Thank You Gary Gouldgouldgt@gmail.com845-341-3800  mobile",CSB-General Inquiry,7,7,CSB-General Inquiry
248215206, Missed recycling pickup,CSB-General Inquiry,7,7,CSB-General Inquiry
214248923, There are two features that would be nice to have in this app.    1. There should be a way to add updates   new information to a report. I would like to add new info when a problem gets worse  e.g. additional tents  possibly stolen bikes getting taken apart  etc.    2. There should be some information and explanation when a report is marked closed  especially when the problem still exists.    Thanks,CSB-General Inquiry,7,7,CSB-General Inquiry
213634367,"SDOT: Please see request below for possible ""No Parking 6AM-5PM"" signage. ",SPD-Parking Enforcement,4,7,CSB-General Inquiry
221571921,Seattle fly study samples ,SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
228717362," Agnes called the Customer Service Bureau to report empty sign post hardware (crosswalk signal) that is sticking out of the ground which made her trip and have a bad fall. This is on the Southeast corner of 2nd and Blanchard. It should have a crosswalk signal button, but it's empty and just the hardware sticking up. Agnes is requesting this be covered, marked, or replaced with a pole and signal likebefore so nobody else gets injured.",CSB-General Inquiry,7,7,CSB-General Inquiry
244762379,Eagr has been busy ,SPU-Graffiti Report,0,7,CSB-General Inquiry
209036198,"Yard waste filled with food in plastic, not collected. Raccoons tipped over garbage all over. ",SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
244563757,Metal appliance ,SPU-Illegal Dumping Report,3,7,CSB-General Inquiry
224325952," apartment building trash dumpster overflowing, has missed pickup by waste management?",CSB-General Inquiry,7,7,CSB-General Inquiry
225731014, Stolen bench boards.,CSB-General Inquiry,7,7,CSB-General Inquiry
241838587,Duplicate of SR #21-00269714 Stolen shopping cart on Interurban,CSB-General Inquiry,7,7,CSB-General Inquiry
205585918, Guard rail smashed,CSB-General Inquiry,7,7,CSB-General Inquiry
209405866, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
197745232, Broken sprinkler,CSB-General Inquiry,7,7,CSB-General Inquiry
209988192," Customer reported someone threw blue and yellow paint all over the bridge steps, railing and wall. He said this is a huge tourist area where buses stop for the views of the city.  He also reported the bridge is extremely dirty, needs to be cleaned (pressure washed and hasn't been cleaned in over a year) and said if it's not cleaned he is going to be contacting the Mayor's office.",CSB-General Inquiry,7,7,CSB-General Inquiry
216596271, Loitering in front of 206 Bell apartments/belltown brewing which are private businesses/owned,CSB-General Inquiry,7,7,CSB-General Inquiry
234110590," John Wilson called CSB with questions about what the City could do about the parking in front of and very close to his curb cut, can any signs be installed?  He said there are times when he can't feel safe about exiting his driveway due to the cars or motorcycles parked so near.  He said he is also concerned because this location is very close to the new Roosevelt station - what is the City's plan for signage and parking enforcement in the area once so many commuters will be driving in?",CSB-General Inquiry,7,7,CSB-General Inquiry
218606957, Ripped fencing,CSB-General Inquiry,7,7,CSB-General Inquiry
241937380,Wires hanging down into sidewalk ,SCL-Streetlight Report,13,7,CSB-General Inquiry
222940331, Downed tree,CSB-General Inquiry,7,7,CSB-General Inquiry
232758443, Stolen shopping cart and loitering and littering and PUBLIC HEALTH ENDANGERMENT,CSB-General Inquiry,7,7,CSB-General Inquiry
248611458,"Officer safety, SPD area patrol is aware of it and HOPE Team ",SDOT-Abandoned Vehicle,2,7,CSB-General Inquiry
208356026, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
242250638, D line bus stop glass panels broken,CSB-General Inquiry,7,7,CSB-General Inquiry
238021142, A young street tree has been chopped out of the ground,CSB-General Inquiry,7,7,CSB-General Inquiry
196816953,non emergency spd complaint For last week a man has played an  electric guitar solo in the jade restaurant parking lot with an amplifier.,CSB-General Inquiry,7,7,CSB-General Inquiry
