servreqid,text,id,label,newlabel,newid
225303109, Unauthorized camping,CSB-General Inquiry,7,7,CSB-General Inquiry
226683968, Garbage,CSB-General Inquiry,7,3,SPU-Illegal Dumping Report
235497220,Threatening graffiti- ,SPU-Graffiti Report,0,0,SPU-Graffiti Report
245975158,Complaint came in 3 days ago. Vehicle would have moved or would have been cited by now. ,SPD-Parking Enforcement,4,4,SPD-Parking Enforcement
211829891,Graffiti ,SPU-Graffiti Report,0,0,SPU-Graffiti Report
247704675,Acab tag ,SPU-Graffiti Report,0,0,SPU-Graffiti Report
208175246, Broken glass and a pile of cigarette butts underneath the southernmost bench at magnolia blvd lookout park.,CSB-General Inquiry,7,7,CSB-General Inquiry
192927553,"Private Property and damaged to vehicle. Call the person who submitted FIFI SR and explained that 911 should by the owner of the vehicle. Used syringe on ground beside car, following break-in of car.",CSB-General Inquiry,7,4,SPD-Parking Enforcement
231273692, Abandon vehicle that appears stolen. License plates are gone and rear tires have been removed. The VIN is blocked as well. It is a tan colored Honda Accord. It is partially in the street and they hazard to traffic.,SPD-Parking Enforcement,4,2,SDOT-Abandoned Vehicle
232259274, Garbage,CSB-General Inquiry,7,3,SPU-Illegal Dumping Report
247742682,traffic signs along E Lynn St and Boyer Ave E from Delmar to 23rd ,SPU-Graffiti Report,0,8,SDOT-Sign and Signal Maintenance
213396183, Overgrown shrub blocking sight line to oncoming traffic. You have to pull out into the middle of the intersection on 26th to see if it's safe to proceed. Leaving you vulnerable to be hit by speeding cars that drive east or west on East Roy Street. Please address. Thank you!,CSB-General Inquiry,7,12,SEA-Overgrown Vegetation
224720640,"Due to 72 hr moratorium by Mayor Durkan this request will not be serviced at this time. Please resubmit if still an issue after the current crisis protocols are lifted. In case of immediate emergency or in progress crime, call 911.. ",SPD-Parking Enforcement,4,7,CSB-General Inquiry
228696411, The tree pictured has some very large limbs that are dead. During some recent windstorm's and a number of larger pieces have come down. Just concerned as a number of people walk through this area very close to the tree.,CSB-General Inquiry,7,7,CSB-General Inquiry
190351489,"SENT FOR INSPECTION  PER INSPECTOR SENT TO ELMGROVE
Someone dumped a toilet on the sidewalk between 4426 4th Ave NE and Slave To The Needle Tattoo.  Can someone please remove it? ",SPU-Illegal Dumping Report,3,3,SPU-Illegal Dumping Report
